example_id,conversation_id,customer_message,conversation_context,intent,expected_escalation,escalation_reason,difficulty,annotator_notes,human_reviewed,review_action,preliminary_intent,preliminary_escalation,preliminary_difficulty
13,602292,"@AmazonHelp I'm not certain, so I don't want to blame anyone! But one of the issues definitely wasn't down to the carrier anyway; one package was supposed to contain two items, but only one was there. My account says I've received the entire order, but I haven't. :-/","[602292] AMAZONHELP: @262966 Hello David, I'm so sorry for the delay in your parcels! We'd like to look into this for you! When you see these delays, do you see a trend in the carrier? ^AR
[602293] CUSTOMER: @AmazonHelp I'm not certain, so I don't want to blame anyone! But one of the issues definitely wasn't down to the carrier anyway; one package was supposed to contain two items, but only one was there. My account says I've received the entire order, but I haven't. :-/
[602295] AMAZONHELP: @262966 I can certainly understand where you're coming from, and I can see the raise for concern! We'd like to go over available options with you at your nearest convenience. Would you please reach out to us here: https://t.co/oGDklGgbCZ? ^GM",item_condition_issue,True,Requires order lookup to verify the missing item and incorrect delivery status.,Medium,Customer reports one item missing from a package containing two items; account incorrectly shows the entire order as received. AI over-focused on delivery delay.,True,corrected,delivery_shipping_delay,True,Easy
14,351004,"@115850 
No luck yet with my delivery.... #amazonprime is a waste of money.... https://t.co/bk8DMQt8sB","[351004] AMAZONHELP: @199509 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC
[351005] CUSTOMER: @115850 
No luck yet with my delivery.... #amazonprime is a waste of money.... https://t.co/bk8DMQt8sB
[351006] AMAZONHELP: @199509 Sorry for the delay in delivery. I'd like to check on what went wrong, fill in your details here: https://t.co/GIJyeYqKE0 ^JC",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
15,2317690,@AmazonHelp then why did an executive mailed me saying that only the details have been updated but the packet is still received by the courier,"[2317690] AMAZONHELP: @671939 Apologies. Have we missed the estimated date? You can check it here: https://t.co/pYHdlcj0Ot, keep us posted. ^HR
[2317691] CUSTOMER: @AmazonHelp then why did an executive mailed me saying that only the details have been updated but the packet is still received by the courier
[2317693] AMAZONHELP: @671939 I understand your concern. Could you please confirm if we missed the estimated delivery date. ^MP
[2317694] CUSTOMER: @AmazonHelp Are you trying to embarass me?
[2317695] AMAZONHELP: @671939 I'm sorry for any misunderstanding. Please note that we ship packages so that it reaches you by the estimated date. If we happen to miss that time frame, kindly let us know so that we can assist you accordingly. ^MO",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
16,2894665,"@AmazonHelp Shocking. Despite speaking to someone and redelivery happening today, same thing has happened. ‘Attempted’ delivery when the office still has people in it. Not happy. Gift ruined. Thanks for the great delivery amazon 👎🏻","[2894665] AMAZONHELP: @792629 That's not good! We'd like to take a better look at this with you. When you have the time, please reach out to us via phone or chat here: https://t.co/JzP7hlA23B ^KP
[2894666] CUSTOMER: @AmazonHelp Shocking. Despite speaking to someone and redelivery happening today, same thing has happened. ‘Attempted’ delivery when the office still has people in it. Not happy. Gift ruined. Thanks for the great delivery amazon 👎🏻
[2894668] AMAZONHELP: @792629 My apologies, I can't see the details of the shipment. When you get a moment, please reach out to us again by phone or chat and we can go over available options with you: https://t.co/JzP7hlA23B ^MG",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
17,2566992,@AmazonHelp I've sent a message from my Amazon account please read it asap. I need this item tonight even if they can deliver it to another address,"[2566992] AMAZONHELP: @141312 Hey Lauren! Oh no, we'd love to help if we can! Please reach out to us via phone or chat here: https://t.co/JzP7hlA23B ^AJ
[2566993] CUSTOMER: @AmazonHelp I've sent a message from my Amazon account please read it asap. I need this item tonight even if they can deliver it to another address
[2566995] AMAZONHELP: @141312 I'm sorry to hear your parcel hasn't made it yet!  It can take up to 24 hours to receive a response to an email.  For faster service, reach out to us via phone or chat here:  https://t.co/JzP7hlA23B  Thank you! ^WB",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
18,607326,@AmazonHelp That it would be chased up and sometimes the carrier will report a delivery in error. It's been four days over the scheduled date and still no delivery.,"[607326] AMAZONHELP: @264330 Hello Lee! Apologies for the trouble this has caused. What was advised when you contacted us?^CN
[607327] CUSTOMER: @AmazonHelp That it would be chased up and sometimes the carrier will report a delivery in error. It's been four days over the scheduled date and still no delivery.
[607329] AMAZONHELP: @264330 Thank you for confirming! Has the tracking information been updated at all since the estimated delivery date? What information is it currently providing: https://t.co/aaDyEz1VgE ? Please keep us posted! ^SD",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
19,1376054,"@AmazonHelp AMZL US,. Delivery notifcations say they attempted at 8:44, at which point I was already gone. Left a note saying to leave package outside.","[1376054] AMAZONHELP: @388118 So sorry about that Aaron! Can you tell you who the carrier was? You can find that information here: https://t.co/hApLpMlfHN ^LS
[1376055] CUSTOMER: @AmazonHelp AMZL US,. Delivery notifcations say they attempted at 8:44, at which point I was already gone. Left a note saying to leave package outside.
[1376057] AMAZONHELP: @388118 Our team would like to take a closer look at this. Please provide all relevant info here : https://t.co/6y5cFyPfQT ^LJ
[1376058] CUSTOMER: @AmazonHelp @388118 Looks like another example of Amazon Logistics' stellar service.",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
20,1400631,@AmazonHelp Your service quality is really poor.. delivery and return pickup of any item is very time taking,"[1400631] AMAZONHELP: @445665 That's quite a remark. Could you please let us if something went wrong?
[1400632] CUSTOMER: @AmazonHelp Your service quality is really poor.. delivery and return pickup of any item is very time taking
[1400634] AMAZONHELP: @445665 left unaddressed? Do let us know and we'll be glad to help you. (2/2)^SQ
[1400635] AMAZONHELP: @445665 Sorry for the unpleasant experience with your order. Were any of your issues (1/2)^SQ",unclear_other,False,General complaint about delivery and return pickup delays without a specific order or refund issue to investigate.,Medium,Customer raises a broad service-quality complaint covering both delivery and return pickup; no specific refund or order issue is provided.,True,corrected,returns_refund_inquiry,True,Easy
21,1001078,"@115850 where is obsens in my review ,why you not face reality. Look all how Amazon ignore reality.i am sharing some ss ,look all https://t.co/JLYxw1hrXT","[1001078] AMAZONHELP: @356997 meet the guidelines mentioned in the link provided in email. Appreciate your understanding. 2/2 ^HD
[1001079] CUSTOMER: @115850 where is obsens in my review ,why you not face reality. Look all how Amazon ignore reality.i am sharing some ss ,look all https://t.co/JLYxw1hrXT
[1001080] AMAZONHELP: @356997 Apologies for the trouble with posting the review, Sudhansu. The review will not be posted if it doesn't 1/2 ^HD",unclear_other,True,2,Medium,The issue concerns a product review not being posted and can be addressed through the review guidelines; no private order investigation is indicated.,True,corrected,delivery_shipping_delay,True,Easy
22,1282260,@AmazonHelp I don’t wanna know that to whom has the product been delivered. Just deliver the product that I ordered by 12pm tomorrow by hook or by crook,"[1282260] AMAZONHELP: @219480 Our team is working on fixing the issue, we'll get back to you soon. ^SU
[1282261] CUSTOMER: @AmazonHelp I don’t wanna know that to whom has the product been delivered. Just deliver the product that I ordered by 12pm tomorrow by hook or by crook
[1282262] AMAZONHELP: @219480 We're working on this. We'll update you soon. ^SG",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
23,2813498,@AmazonHelp Thank you Amazon! I stay in Bangalore and I will choose for one day delivery. I really hope I get the oneplus5t before my departure.thankyou,"[2813498] AMAZONHELP: @784462 Thank you for sharing the kind words. We're glad that you like our service. Do keep us posted if there are any further concerns and we'd be glad to assist you. ^SM
[2813499] CUSTOMER: @AmazonHelp Thank you Amazon! I stay in Bangalore and I will choose for one day delivery. I really hope I get the oneplus5t before my departure.thankyou
[2813500] CUSTOMER: @784462 @AmazonHelp Hi hope you receive the right phone I got a phone worth 1K in my parcel instead. Read my TL
[2813501] AMAZONHELP: @784462 Hello, I understand your concern regarding the delivery estimates. The delivery estimates depend on several factors such as the availability of the item and from where the item is being shipped. Kindly refer: https://t.co/MwlhhvGOVU for more information. ^MO",item_condition_issue,True,Requires order lookup to investigate the incorrect item received and verify the original order.,Medium,"Customer initially discusses one-day delivery, but the conversation also reports receiving the wrong/low-value phone instead of the ordered OnePlus 5T. The primary actionable issue is the incorrect item received.",True,corrected,delivery_shipping_delay,True,Easy
24,1652912,"@AmazonHelp Yes. 'We’re sorry your parcel is late. If it hasn’t arrived by Thursday, 9 Nov, please come back for more options'","[1652912] AMAZONHELP: @504621 Hi Alistair. Do you have an outstanding order? What does the latest tracking advise- https://t.co/Jr1kcqQUJY ^TP
[1652913] CUSTOMER: @AmazonHelp Yes. 'We’re sorry your parcel is late. If it hasn’t arrived by Thursday, 9 Nov, please come back for more options'
[1652915] AMAZONHELP: @504621 Hi Alistair- Who is the carrier for the delivery? Delays can happen for a number of reasons. ^NV
[1652916] CUSTOMER: @AmazonHelp Amazon Logistics
[1652917] AMAZONHELP: @504621 Thanks for clarifying Alistair, apologies for the delay. Please keep us posted. We want to ensure your order reaches you ^TP",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
25,1600992,@AmazonHelp I checked my order last night and it was to arrive today. I woke up to an email this morning saying we are still trying to obtain the order,"[1600992] AMAZONHELP: @491531 Apologies, have you received any emails in relation to the pre order? ^JJ
[1600993] CUSTOMER: @AmazonHelp I checked my order last night and it was to arrive today. I woke up to an email this morning saying we are still trying to obtain the order
[1600995] AMAZONHELP: @491531 Sorry to hear that, it seems like there was a stock issue, we will email you as soon as a delivery date is available. ^JJ
[1600996] CUSTOMER: @AmazonHelp Just wondering, if I was to cancel the order, would i get the gift card balance back that I used?
[1600997] AMAZONHELP: @491531 Hi, refunds go back to the original payment method. ^JJ",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
26,503458,@AmazonHelp Can I make a complaint about carriers? Having orders out for delivery and just not show up is really crummy.,"[503458] AMAZONHELP: @235316 I certainly understand your frustration! Have you had the chance to contact us through the link previously given? We'd be more than happy to look into this further with you there. ^HC
[503459] CUSTOMER: @AmazonHelp Can I make a complaint about carriers? Having orders out for delivery and just not show up is really crummy.
[503460] AMAZONHELP: @235316 We'd like to look into this for you, but we can't access your account via Twitter. When you have time, please reach out to us over phone or chat so we can discuss what options may be available: https://t.co/hApLpMlfHN ^AR",digital_streaming_services,False,Public app restart and digital content licensing info,Easy,Confirmed AI pre-label: Digital streaming app playback or content query,True,confirmed,digital_streaming_services,False,Easy
27,836492,@AmazonHelp There is no help from nowhere...hence m filing a fraud case against u all...delivery man n others ..this is how u treat prepaid orders .,"[836492] AMAZONHELP: @319111 Kindly report this to our support team here: https://t.co/R3EfhzgU8B and we'll definitely look into it. 2/2 ^PS
[836493] CUSTOMER: @AmazonHelp There is no help from nowhere...hence m filing a fraud case against u all...delivery man n others ..this is how u treat prepaid orders .
[836494] CUSTOMER: @115850 u guys r  frauds.m complaining against u all in police.i have all the proofs.u didn't delivered my prepaid product n say delivered
[836495] AMAZONHELP: @319111 Apologies for the miscommunication. Please use the link provided by my colleague 'PS' and we'll get this sorted soon.^RS
[836496] CUSTOMER: @AmazonHelp Tried it ..still nothing ..amazon sucks ..no service n I'll spread this everywhere... 9546141509 is my nmbr ..if u value ur customers. call
[836497] AMAZONHELP: @319111 Please don't provide contact details, we consider it personal information. Our Twitter page is visible to public. ^VN(2/2)
[836498] AMAZONHELP: @319111 I'm sorry to hear this. We'd like to help. Could you please confirm sharing your details using the previous link? ^VN (1/2)
[836499] AMAZONHELP: @319111 Sorry to know your package shows delivered and you haven't received it. Certainly not intended. 1/2 ^PS",delivery_shipping_delay,True,"Customer says the prepaid product was not delivered but is showing as delivered, and is making a fraud complaint.",Easy,"Customer reports a prepaid order was marked as delivered but was not received, which is a delivery-related issue requiring order/account lookup. Therefore, delivery_shipping_delay is the closest available intent.",True,corrected,delivery_shipping_delay,True,Easy
28,529147,"@AmazonHelp delay means further more delay? Result was suppose to be out on 1dec, do we need to wait more?Or today result will be announced.","[529147] AMAZONHELP: @242519 There has been an unexpected delay with the announcement and we are working on it. Kindly stay tuned for more updates. ^AH
[529148] CUSTOMER: @AmazonHelp delay means further more delay? Result was suppose to be out on 1dec, do we need to wait more?Or today result will be announced.
[529150] AMAZONHELP: @242519 Sorry for the delay. We have escalated it to the concerned team. Appreciate your patience.  ^HR",unclear_other,True,**Escalation Reason:** Delayed result announcement requires clarification from the concerned team regarding the updated announcement date/time.,Easy,"The customer is asking about a **delayed result announcement**, not a delivery or shipping issue. Since no specific intent exists for result/announcement delays, `unclear_other` is the closest available label.",True,corrected,delivery_shipping_delay,True,Easy
29,2212022,@AmazonHelp This is my 4th problem in 3 weeks. Yes. I was supposed to have items delivered by 7pm today and now delivery shows between Nov. 9th-12th. Ridiculous.  I now have to go shopping in the morning because I needed those first thing. The new delivery system is not working. Such a shame,"[2212022] AMAZONHELP: @646516 I'm sorry, that sounds so frustrating.  Is the carrier the same for the orders you've had delivery issues with lately? Have we sent you any updates via e-mail about why your most recent order was delayed? We want to help if possible. ^EA
[2212023] CUSTOMER: @AmazonHelp This is my 4th problem in 3 weeks. Yes. I was supposed to have items delivered by 7pm today and now delivery shows between Nov. 9th-12th. Ridiculous.  I now have to go shopping in the morning because I needed those first thing. The new delivery system is not working. Such a shame
[2212024] AMAZONHELP: @646516 I'm sorry for the frustration! Do you have a current order that you're facing an issue with? ^TN",delivery_shipping_delay,False,True — current order/delivery details need to be checked.,Easy,"Customer reports that an order expected by 7 PM has been delayed to Nov. 9–12. The issue is clearly related to a **delivery delay**, not digital streaming services. Therefore, `delivery_shipping_delay` is the correct intent.",True,corrected,digital_streaming_services,False,Easy
30,490538,@AmazonHelp Yes both items still say out for delivery even though I’ve received one of them,"[490538] AMAZONHELP: @231856 So sorry for the wait! Do your other items still show in transit in the orders section of your account here: https://t.co/Y5jpI9gRhE ? ^BG
[490539] CUSTOMER: @AmazonHelp Yes both items still say out for delivery even though I’ve received one of them
[490541] AMAZONHELP: @231856 Please keep us posted on the item that you have not received and that is still out for delivery. Let us know if you do not receive it today. ^TE
[490542] CUSTOMER: @AmazonHelp Just received an email saying that my order was posted through the letter box showing that the missing item was delivered (which it deffo wasn’t) along with the item I actually did receive but still “out for delivery” on amazon app
[490543] AMAZONHELP: @231856 We do deliver until 21:00 daily, 22:00 if Amazon Logistics is the courier listed. If not received by then, please let us know. ^AN
[490544] CUSTOMER: @AmazonHelp half of my order is still missing. i paid for one day delivery, this is completely unacceptable, my order was a day late and half of it is still missing - fix it. 'My Orders' says its been delivered. DM me if need be
[490545] AMAZONHELP: @231856 We don't have access to order details through Twitter. So we can look into this further, please reach out to us here: https://t.co/JzP7hlA23B ^BH",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
31,1445348,"@AmazonHelp Thanks for the reply, the carrier noted only says “Amazon Shipping” on the tracking details!","[1445348] AMAZONHELP: @455397 I'm sorry to see the way your package was delivered! Will you confirm the carrier listed here: https://t.co/aaDyEz1VgE ^HC
[1445349] CUSTOMER: @AmazonHelp Thanks for the reply, the carrier noted only says “Amazon Shipping” on the tracking details!
[1445350] CUSTOMER: You pay for an Amazon Prime membership and this is where your packages are left whilst you’re at work 😤 #NotImpressed @115830 https://t.co/UEvbve6G0I
[1445351] AMAZONHELP: @455397 Sorry for your delivery experience w/ us, Hannah! Let's take care of this in real time w/ you here: https://t.co/JzP7hlA23B ^JZ",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
32,462496,"@AmazonHelp We have a package that says delivered, but was never delivered. Amazon agents say I need to wait another 48 hours. Who do I pay for PRIME if the guarantee doesn’t hold?","[462496] AMAZONHELP: @224914 I'm so sorry that you had a less than stellar experience! Please be sure to submit the survey that was sent after you spoke with us so that we can make sure improvements are made. Do you still need assistance? We'd love to make sure you're taken care of. ^TN
[462497] CUSTOMER: @AmazonHelp We have a package that says delivered, but was never delivered. Amazon agents say I need to wait another 48 hours. Who do I pay for PRIME if the guarantee doesn’t hold?",delivery_shipping_delay,True,Requires order lookup to investigate a package marked delivered but not received.,Easy,,True,corrected,payment_promo_giftcard,True,Medium
33,1325568,@AmazonHelp Calling customer service today and operator said item may arrive today but not sure of time. My parents flight is in 2 hs no use to receive,"[1325568] AMAZONHELP: @428846 Sorry to hear Mariano. How long ago were you in touch? W/o posting account info can you explain you issue in more detail? ^TP
[1325569] CUSTOMER: @AmazonHelp Calling customer service today and operator said item may arrive today but not sure of time. My parents flight is in 2 hs no use to receive
[1325570] CUSTOMER: @AmazonHelp Item for them and cancelled order. After call never received email to left my feedback. Coincidence  (?) Surprise ruined for dad many thanks
[1325571] CUSTOMER: @AmazonHelp Order item for next day delivery. Spend all day at home waiting item never arrived and driver lie. Calling customer service after driver lie
[1325572] CUSTOMER: @AmazonHelp Operator promise to deliver the same day or early morning of today and call back @ 9pm to see what happened. Item never arrived neither call",delivery_shipping_delay,True,Requires order lookup for delivery status update,Easy,Confirmed AI pre-label: General delivery delay / shipping inquiry,True,confirmed,delivery_shipping_delay,True,Easy
